Smew,Anatidae,Anseriformes,Mergellus
Snow bunting,Calcariidae,Passeriformes,Plectrophenax
Sociable lapwing,Charadriidae,Charadriiformes,Vanellus
Soft-plumaged petrel,Procellariidae,Procellariiformes,Pterodroma
Sombre tit,Paridae,Passeriformes,Poecile
Song thrush,Turdidae,Passeriformes,Turdus
Sooty falcon,Falconidae,Falconiformes,Falco
Sooty gull,Laridae,Charadriiformes,Ichthyaetus
Sooty shearwater,Procellariidae,Procellariiformes,Ardenna
Sooty tern,Laridae,Charadriiformes,Onychoprion
South polar skua,Stercorariidae,Charadriiformes,Stercorarius
Southern pochard,Anatidae,Anseriformes,Netta
Spanish sparrow,Passeridae,Passeriformes,Passer
Spectacled warbler,Sylviidae,Passeriformes,Curruca
Spotted crake,Rallidae,Gruiformes,Porzana
Spotted flycatcher,Muscicapidae,Passeriformes,Muscicapa
Spotted redshank,Scolopacidae,Charadriiformes,Tringa
Spotted sandgrouse,Pteroclidae,Columbiformes,Pterocles
Spur-winged lapwing,Charadriidae,Charadriiformes,Vanellus
Squacco heron,Ardeidae,Pelecaniformes,Ardeola
Steppe eagle,Accipitridae,Accipitriformes,Aquila
Stock dove,Columbidae,Columbiformes,Columba
Streaked scrub warbler,Scotocercidae,Passeriformes,Scotocerca
Streaked shearwater,Procellariidae,Procellariiformes,Calonectris
Striated heron,Ardeidae,Pelecaniformes,Butorides
Striolated bunting,Emberizidae,Passeriformes,Emberiza
Summer Breeding,,,
Summer Visitor,,,
Swinhoe's storm petrel,Hydrobatidae,Procellariiformes,Oceanodroma
Sykes's warbler,Acrocephalidae,Passeriformes,Iduna
Syrian serin,Fringillidae,Passeriformes,Serinus
Syrian woodpecker,Picidae,Piciformes,Dendrocopos
Taiga bean goose,Anatidae,Anseriformes,Anser
Tawny eagle,Accipitridae,Accipitriformes,Aquila
Tawny owl,Strigidae,Strigiformes,Strix
Tawny pipit,Motacillidae,Passeriformes,Anthus
Temminck's lark,Alaudidae,Passeriformes,Eremophila
Temminck's stint,Scolopacidae,Charadriiformes,Calidris
Terek sandpiper,Scolopacidae,Charadriiformes,Xenus
Thick-billed lark,Alaudidae,Passeriformes,Ramphocoris
Three-banded plover,Charadriidae,Charadriiformes,Charadrius
Thrush nightingale,Muscicapidae,Passeriformes,Luscinia
Tree pipit,Motacillidae,Passeriformes,Anthus
Tristram's starling,Sturnidae,Passeriformes,Onychognathus
Tropical shearwater,Procellariidae,Procellariiformes,Puffinus
Trumpeter finch,Fringillidae,Passeriformes,Bucanetes
Tufted duck,Anatidae,Anseriformes,Aythya
